receipt_id,user_id,purchase_date,date_scanned,create_date,finished_date,modify_date,rewards_receipt_status,bonus_points_earned,points_awarded_date,points_earned,purchased_item_count,total_spent,bonus_points_earned_reason
5ff1e1eb0a720f0523000575,5ff1e1eacfcf6c399c274ae6,2021-01-03 00:00:00+00:00,2021-01-03 15:25:31+00:00,2021-01-03 15:25:31+00:00,2021-01-03 15:25:31+00:00,2021-01-03 15:25:36+00:00,FINISHED,500,2021-01-03 15:25:31+00:00,500,5,26.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)"
5ff1e1bb0a720f052300056b,5ff1e194b6a9d73a3a9f1052,2021-01-02 15:24:43+00:00,2021-01-03 15:24:43+00:00,2021-01-03 15:24:43+00:00,2021-01-03 15:24:43+00:00,2021-01-03 15:24:48+00:00,FINISHED,150,2021-01-03 15:24:43+00:00,150,2,11.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)"
5ff1e1f10a720f052300057a,5ff1e1f1cfcf6c399c274b0b,2021-01-03 00:00:00+00:00,2021-01-03 15:25:37+00:00,2021-01-03 15:25:37+00:00,,2021-01-03 15:25:42+00:00,REJECTED,5,,5,1,10.0,All-receipts receipt bonus
5ff1e1ee0a7214ada100056f,5ff1e1eacfcf6c399c274ae6,2021-01-03 00:00:00+00:00,2021-01-03 15:25:34+00:00,2021-01-03 15:25:34+00:00,2021-01-03 15:25:34+00:00,2021-01-03 15:25:39+00:00,FINISHED,5,2021-01-03 15:25:34+00:00,5,4,28.0,All-receipts receipt bonus
5ff1e1d20a7214ada1000561,5ff1e194b6a9d73a3a9f1052,2021-01-02 15:25:06+00:00,2021-01-03 15:25:06+00:00,2021-01-03 15:25:06+00:00,2021-01-03 15:25:11+00:00,2021-01-03 15:25:11+00:00,FINISHED,5,2021-01-03 15:25:06+00:00,5,2,1.0,All-receipts receipt bonus
5ff1e1e40a7214ada1000566,5ff1e1e4cfcf6c399c274ac3,2021-01-02 15:25:24+00:00,2021-01-03 15:25:24+00:00,2021-01-03 15:25:24+00:00,2021-01-03 15:25:25+00:00,2021-01-03 15:25:30+00:00,FINISHED,750,2021-01-03 15:25:25+00:00,750,1,3.25,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)"
5ff1e1cd0a720f052300056f,5ff1e194b6a9d73a3a9f1052,2021-01-03 15:25:01+00:00,2021-01-03 15:25:01+00:00,2021-01-03 15:25:01+00:00,2021-01-03 15:25:02+00:00,2021-01-03 15:25:02+00:00,FINISHED,5,2021-01-03 15:25:02+00:00,5,1,2.23,All-receipts receipt bonus
5ff1e1a40a720f0523000569,5ff1e194b6a9d73a3a9f1052,2020-12-27 00:00:00+00:00,2021-01-03 15:24:20+00:00,2021-01-03 15:24:20+00:00,2021-01-03 15:24:21+00:00,2021-01-03 15:24:21+00:00,FINISHED,500,2021-01-03 15:24:21+00:00,500,1,10.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)"
5ff1e1ed0a7214ada100056e,5ff1e1eacfcf6c399c274ae6,2021-01-03 00:00:00+00:00,2021-01-03 15:25:33+00:00,2021-01-03 15:25:33+00:00,2021-01-03 15:25:34+00:00,2021-01-03 15:25:38+00:00,FINISHED,5,2021-01-03 15:25:34+00:00,5,5,20.0,All-receipts receipt bonus
5ff1e1eb0a7214ada100056b,5ff1e1eacfcf6c399c274ae6,2021-01-03 00:00:00+00:00,2021-01-03 15:25:31+00:00,2021-01-03 15:25:31+00:00,2021-01-03 15:25:31+00:00,2021-01-03 15:25:36+00:00,FINISHED,250,2021-01-03 15:25:31+00:00,250,3,20.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)"
5ff1e1c50a720f052300056c,5ff1e194b6a9d73a3a9f1052,2021-01-02 15:24:53+00:00,2021-01-03 15:24:53+00:00,2021-01-03 15:24:53+00:00,2021-01-03 15:24:53+00:00,2021-01-03 15:24:53+00:00,FINISHED,100,2021-01-03 15:24:53+00:00,100,1,1.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)"
5ff1e1a10a720f0523000568,5ff1e194b6a9d73a3a9f1052,2021-01-02 00:00:00+00:00,2021-01-03 15:24:17+00:00,2021-01-03 15:24:17+00:00,2021-01-03 15:39:20+00:00,2021-01-03 15:39:20+00:00,FINISHED,750,2021-01-03 15:24:19+00:00,750,5,50.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)"
5ff1e1b60a7214ada100055c,5ff1e194b6a9d73a3a9f1052,2021-02-03 15:24:38+00:00,2021-01-03 15:24:38+00:00,2021-01-03 15:24:38+00:00,,2021-01-03 15:24:38+00:00,FLAGGED,150,,8850,10,290.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)"
5f9c74f70a7214ad07000037,5f9c74f7c88c1415cbddb839,2020-10-29 20:17:59+00:00,2020-10-30 20:17:59+00:00,2020-10-30 20:17:59+00:00,,2021-01-03 15:24:54+00:00,REJECTED,750,2020-10-30 20:18:00+00:00,750,11,1.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)"
